,STUID,SCHID,state,DIST,SCH,STU,FORM,GENDER,AREA,medium,mathscl,mathtry,mathncor,mathpcor,MT012_001,MT012_002,MT012_003,MT012_004,MT012_005,MT012_006,MT012_007,MT012_008,MT012_009,MT012_010,MT012_011,MT012_012,MT012_013,MT012_014,MT012_015,MT012_016,MT012_017,MT012_018,MT012_019,MT012_020,MT012_021,MT012_022,MT012_023,MT012_024,MT012_025,MT012_026,MT012_027,MT012_028,MT012_029,MT012_030,MT012_031,MT012_032,MT012_033,MT012_034,MT012_035,MT012_036,MT012_037,MT012_038,MT012_039,MT012_040,MT012_041,MT012_042,MT012_043,MT012_044,MT012_045,MT012_046,MT012_047,MT012_048,MT012_049,MT012_050,MT012_051,MT012_052,MT012_053,MT012_054,MT012_055,MT012_056,MT012_057,MT012_058,MT012_059,MT012_060,MT012_061,MT012_062,MT012_063,MT012_064,MT012_065,MT012_066,MT012_067,MT012_068,MT012_069,MT012_070,MT012_071,MT012_072,MT012_073,MT012_074,MT012_075,MT012_076,MT012_077,MT012_078,MT012_079,MT012_080,MT012_081,MT012_082,MT012_083,MT012_084,MT012_085,MT012_086,MT012_087,MT012_088,MT012_089,MT012_090,MT012s001,MT012s002,MT012s003,MT012s004,MT012s005,MT012s006,MT012s007,MT012s008,MT012s009,MT012s010,MT012s011,MT012s012,MT012s013,MT012s014,MT012s015,MT012s016,MT012s017,MT012s018,MT012s019,MT012s020,MT012s021,MT012s022,MT012s023,MT012s024,MT012s025,MT012s026,MT012s027,MT012s028,MT012s029,MT012s030,MT012s031,MT012s032,MT012s033,MT012s034,MT012s035,MT012s036,MT012s037,MT012s038,MT012s039,MT012s040,MT012s041,MT012s042,MT012s043,MT012s044,MT012s045,MT012s046,MT012s047,MT012s048,MT012s049,MT012s050,MT012s051,MT012s052,MT012s053,MT012s054,MT012s055,MT012s056,MT012s057,MT012s058,MT012s059,MT012s060,MT012s061,MT012s062,MT012s063,MT012s064,MT012s065,MT012s066,MT012s067,MT012s068,MT012s069,MT012s070,MT012s071,MT012s072,MT012s073,MT012s074,MT012s075,MT012s076,MT012s077,MT012s078,MT012s079,MT012s080,MT012s081,MT012s082,MT012s083,MT012s084,MT012s085,MT012s086,MT012s087,MT012s088,MT012s089,MT012s090,DistW,DistAdj,SchWgt,SchAdj,SchAdjLAN,SchAdjMAT,SchAdjSCI,SchAdjSOC,StuWgt,LANWgt,MATWgt,SCIWgt,SOCWgt,jkrep,jkzone
34023,22051107029,22051107,JH,5,1107,29,MAT- 21,Boy,Rural,Hindi,227.1911996,60,17,28.33,4,4,3,2,3,4,1,4,2,3,1,3,1,2,3,3,2,4,2,1,3,3,3,1,3,2,1,1,4,1,1,4,2,1,1,1,2,2,2,4,1,2,4,3,1,2,3,4,4,3,2,4,1,2,1,2,3,3,4,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.563412475,1,6.475377778,1.196172249,1.196172249,1.201923077,1.207729469,1.207729469,3.407407407,17.78701527,17.87252977,17.95887049,17.95887049,0,39
34029,22051108014,22051108,JH,5,1108,14,MAT- 22,Girl,Rural,Hindi,228.5998335,59,16,27.12,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,3,1,0,3,4,1,2,4,1,4,1,3,2,3,1,1,1,3,3,3,2,4,1,0,3,1,1,1,2,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,4,1,1,1,3,1,2,2,2,1,3,2,1,1,0,4,3,3,0,4,2,3,1,4,2,3,4,0,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,1,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0.563412475,1,15.072,1.196172249,1.196172249,1.201923077,1.207729469,1.207729469,3.473684211,42.20609035,42.40900425,42.61387866,42.61387866,0,38
34032,22051108018,22051108,JH,5,1108,18,MAT- 22,Girl,Rural,Hindi,226.7602679,59,17,28.81,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2,1,0,3,3,1,2,1,4,3,1,3,2,4,1,1,1,2,4,1,2,4,0,3,1,1,1,4,3,3,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,4,1,1,1,1,1,3,2,2,1,1,1,4,3,4,2,3,3,3,0,2,3,1,4,4,4,2,1,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0.563412475,1,15.072,1.196172249,1.196172249,1.201923077,1.207729469,1.207729469,3.473684211,42.20609035,42.40900425,42.61387866,42.61387866,0,38
34054,22051115002,22051115,JH,5,1115,2,MAT- 22,Boy,Rural,Hindi,226.7132204,59,16,27.12,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2,3,3,2,2,4,2,2,3,3,1,3,2,1,4,1,2,1,2,3,1,2,3,2,4,1,2,1,3,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,3,2,4,3,2,1,2,1,2,3,1,2,3,4,4,1,2,3,2,1,1,2,3,4,1,1,2,3,3,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.563412475,1,7.947054545,1.196172249,1.196172249,1.201923077,1.207729469,1.207729469,3.675675676,23.54817651,23.66138889,23.77569512,23.77569512,0,44
34063,22051115022,22051115,JH,5,1115,22,MAT- 22,Girl,Rural,Hindi,227.5697441,59,17,28.81,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2,2,2,3,2,2,2,3,3,3,2,3,3,4,4,3,4,3,3,3,4,3,4,2,4,4,2,2,0,3,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,4,3,3,2,4,2,1,2,4,3,2,3,3,2,4,4,3,2,2,2,2,3,2,2,2,3,2,3,2,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.563412475,1,7.947054545,1.196172249,1.196172249,1.201923077,1.207729469,1.207729469,3.675675676,23.54817651,23.66138889,23.77569512,23.77569512,0,44
34064,22051115025,22051115,JH,5,1115,25,MAT- 21,Girl,Rural,Hindi,226.9297927,60,18,30,1,2,1,3,2,3,1,3,2,0,2,3,0,3,3,3,2,2,2,3,3,1,1,2,4,2,2,1,4,0,3,4,2,2,3,1,2,2,0,3,2,2,1,2,3,4,3,3,2,0,1,0,2,3,3,1,1,2,3,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.563412475,1,7.947054545,1.196172249,1.196172249,1.201923077,1.207729469,1.207729469,3.675675676,23.54817651,23.66138889,23.77569512,23.77569512,0,44
34144,22051122005,22051122,JH,5,1122,5,MAT- 21,Girl,Rural,Hindi,227.7287819,60,16,26.67,1,2,1,4,1,2,1,2,1,4,3,3,2,1,2,4,3,2,4,3,1,4,1,4,3,1,4,2,1,3,2,4,1,3,3,2,3,2,3,4,3,2,3,3,1,2,3,1,2,3,4,3,2,0,0,3,0,2,0,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0,0,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.563412475,1,30.144,1.196172249,1.196172249,1.201923077,1.207729469,1.207729469,2,48.60095252,48.83461095,49.07052694,49.07052694,0,37
34223,22052113001,22052113,JH,5,2113,1,MAT- 21,Girl,Rural,Hindi,226.1155059,60,17,28.33,4,2,4,2,4,3,4,1,3,4,1,2,2,3,3,2,2,3,4,4,2,3,2,4,3,4,3,1,4,3,2,4,4,3,1,1,4,4,2,4,4,4,3,2,3,2,2,4,3,4,4,1,3,4,2,4,2,3,3,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.563412475,1,21.8544,1.196172249,1.196172249,1.201923077,1.207729469,1.207729469,1.027027027,18.09400327,18.18099367,18.26882456,18.26882456,1,45
34230,22052113012,22052113,JH,5,2113,12,MAT- 21,Girl,Rural,Hindi,229.5834046,60,17,28.33,4,1,2,3,3,4,2,2,4,4,3,3,2,3,4,3,2,2,2,2,1,3,4,1,3,2,2,1,3,1,2,4,3,3,2,3,1,2,2,4,4,2,4,3,4,1,1,4,3,1,4,2,1,4,2,3,3,1,4,3,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.563412475,1,21.8544,1.196172249,1.196172249,1.201923077,1.207729469,1.207729469,1.027027027,18.09400327,18.18099367,18.26882456,18.26882456,1,45
34233,22052113019,22052113,JH,5,2113,19,MAT- 22,Girl,Rural,Hindi,227.1078323,59,17,28.81,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,3,2,3,3,1,3,2,4,1,3,2,2,1,4,1,2,2,2,1,1,3,2,3,4,3,3,4,2,2,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,4,4,1,4,4,4,1,3,4,1,3,4,2,3,3,4,3,4,4,3,3,3,2,3,2,3,4,3,1,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0.563412475,1,21.8544,1.196172249,1.196172249,1.201923077,1.207729469,1.207729469,1.027027027,18.09400327,18.18099367,18.26882456,18.26882456,1,45
